"","lat4","lon4","V1"
"1",29.9585,-99.2173,1
"2",29.959,-99.2176,1
"3",29.9595,-99.2178,1
"4",29.9602,-99.2182,1
"5",29.9606,-99.2185,1
"6",29.961,-99.2186,1
"7",29.9617,-99.2186,1
"8",29.9622,-99.2186,1
"9",29.9685,-99.2206,1
"10",29.9691,-99.2207,1
"11",29.9734,-99.2227,1
"12",29.9742,-99.2227,1
"13",29.9748,-99.2231,1
"14",29.976,-99.2233,1
"15",29.977,-99.2237,1
"16",29.9775,-99.2239,1
"17",29.9781,-99.2244,1
"18",29.9822,-99.226,1
"19",29.9829,-99.2261,1
"20",29.9834,-99.2261,1
"21",29.9839,-99.2259,1
"22",29.9916,-99.229,1
"23",29.9922,-99.2293,1
"24",29.9927,-99.2295,1
"25",29.9939,-99.2299,1
"26",30.0014,-99.2325,1
"27",30.0019,-99.2327,1
"28",30.0025,-99.233,1
"29",30.007,-99.2344,1
"30",30.0089,-99.2363,1
"31",30.0095,-99.2368,1
"32",30.0099,-99.2373,1
"33",30.0105,-99.238,1
"34",30.011,-99.2384,1
"35",30.0114,-99.2389,1
"36",30.0119,-99.2393,1
"37",30.0122,-99.2397,1
"38",30.0127,-99.2401,1
"39",30.0132,-99.2404,1
"40",30.0137,-99.2406,1
"41",30.0142,-99.2409,1
"42",30.0147,-99.2411,1
"43",30.015,-99.2413,1
"44",30.0156,-99.2416,1
"45",30.016,-99.2417,1
"46",30.0166,-99.242,1
"47",30.035,-99.2501,1
"48",30.0908,-99.2783,1
"49",30.0913,-99.2786,1
"50",30.0918,-99.2789,1
"51",30.092,-99.279,1
"52",30.1053,-99.2826,1
"53",30.1059,-99.2824,1
"54",30.119,-97.6991,1
"55",30.1198,-97.6995,1
"56",30.185,-97.8741,9
"57",30.185,-97.874,11
"58",30.185,-97.8739,3
"59",30.185,-97.8738,4
"60",30.1851,-97.8741,64
"61",30.1851,-97.874,16
"62",30.1851,-97.8739,10
"63",30.1851,-97.8738,8
"64",30.1852,-97.8742,1
"65",30.1852,-97.8741,52
"66",30.1852,-97.874,10
"67",30.1852,-97.8739,23
"68",30.1852,-97.8738,3
"69",30.1852,-97.8737,1
"70",30.1852,-97.8735,1
"71",30.1852,-97.8732,1
"72",30.1852,-97.8731,1
"73",30.1853,-97.8741,1
"74",30.1853,-97.8739,1
"75",30.1853,-97.8738,1
"76",30.1853,-97.8737,1
"77",30.1853,-97.8735,1
"78",30.1853,-97.8732,1
"79",30.1853,-97.8728,1
"80",30.1854,-97.8742,2
"81",30.1854,-97.8741,2
"82",30.1854,-97.8729,1
"83",30.1854,-97.8726,2
"84",30.1854,-97.8718,1
"85",30.1854,-97.8716,1
"86",30.1854,-97.8714,1
"87",30.1855,-97.8725,1
"88",30.1855,-97.8724,1
"89",30.1855,-97.8721,1
"90",30.1855,-97.8714,1
"91",30.1855,-97.8712,1
"92",30.1856,-97.8724,1
"93",30.1856,-97.8711,1
"94",30.1856,-97.871,3
"95",30.1857,-97.8722,1
"96",30.1857,-97.8718,1
"97",30.1857,-97.8709,1
"98",30.1858,-97.8708,1
"99",30.1859,-97.8709,1
"100",30.1859,-97.8707,1
"101",30.1861,-97.871,1
"102",30.1864,-97.8711,1
"103",30.1867,-97.8713,1
"104",30.187,-97.8713,1
"105",30.1871,-97.8715,1
"106",30.1873,-97.8715,1
"107",30.1875,-97.8715,1
"108",30.1878,-97.8716,1
"109",30.1881,-97.8716,1
"110",30.1885,-97.8715,1
"111",30.189,-97.8715,1
"112",30.1893,-97.8715,1
"113",30.1895,-97.8718,1
"114",30.1898,-97.8716,1
"115",30.1901,-97.8726,1
"116",30.1901,-97.872,1
"117",30.1902,-97.8723,1
"118",30.1903,-97.8731,1
"119",30.1904,-97.8734,3
"120",30.1904,-97.8733,4
"121",30.1905,-97.8737,1
"122",30.1906,-97.8741,1
"123",30.1906,-97.873,5
"124",30.1907,-97.8745,1
"125",30.1908,-97.8729,1
"126",30.1909,-97.8747,1
"127",30.1912,-97.8746,1
"128",30.1913,-97.8744,3
"129",30.1913,-97.8743,1
"130",30.1913,-97.8732,1
"131",30.1914,-97.8744,1
"132",30.1915,-97.8743,2
"133",30.1915,-97.874,1
"134",30.192,-97.8721,1
"135",30.1921,-97.8731,1
"136",30.1927,-97.8722,1
"137",30.1929,-97.8713,1
"138",30.1933,-97.871,1
"139",30.1937,-97.8712,1
"140",30.1942,-97.8704,1
"141",30.1943,-97.8706,1
"142",30.1952,-97.87,1
"143",30.1953,-97.8696,1
"144",30.1958,-97.8696,1
"145",30.1959,-97.8691,1
"146",30.1965,-97.8692,1
"147",30.1966,-97.8687,1
"148",30.1972,-97.8688,1
"149",30.1978,-97.8678,1
"150",30.1984,-97.8682,1
"151",30.1984,-97.8673,1
"152",30.1989,-97.8668,1
"153",30.199,-97.8679,1
"154",30.1995,-97.8662,1
"155",30.1998,-97.8675,1
"156",30.1999,-97.8659,1
"157",30.2002,-97.8657,1
"158",30.2003,-97.8673,1
"159",30.2005,-97.8655,1
"160",30.2008,-97.867,1
"161",30.201,-97.8669,1
"162",30.2012,-97.8651,1
"163",30.2014,-97.8667,1
"164",30.2016,-97.8666,1
"165",30.2018,-97.8664,1
"166",30.2018,-97.8647,1
"167",30.2019,-97.8664,5
"168",30.2019,-97.8663,4
"169",30.202,-97.8664,1
"170",30.2021,-97.8663,1
"171",30.2025,-97.866,1
"172",30.2025,-97.8644,1
"173",30.2032,-97.864,1
"174",30.2034,-97.865,1
"175",30.2039,-97.8637,1
"176",30.204,-97.8645,1
"177",30.2046,-97.864,1
"178",30.2046,-97.8634,1
"179",30.2054,-97.8629,1
"180",30.2055,-97.8633,1
"181",30.2061,-97.8624,1
"182",30.2064,-97.8626,1
"183",30.2071,-97.8621,1
"184",30.2072,-97.8616,1
"185",30.2076,-97.8612,1
"186",30.2077,-97.8616,1
"187",30.2084,-97.8611,1
"188",30.2085,-97.8605,1
"189",30.2093,-97.8603,1
"190",30.2094,-97.8597,1
"191",30.2097,-97.8599,1
"192",30.2099,-97.8594,1
"193",30.2106,-97.8591,1
"194",30.2108,-97.8586,1
"195",30.2111,-97.8587,1
"196",30.2114,-97.8579,1
"197",30.2119,-97.8578,1
"198",30.212,-97.8573,1
"199",30.2125,-97.8571,1
"200",30.2128,-97.8564,1
"201",30.2133,-97.8561,1
"202",30.2135,-97.8555,1
"203",30.2139,-97.8553,1
"204",30.2141,-97.8547,1
"205",30.2144,-97.8545,1
"206",30.2147,-97.8537,1
"207",30.2151,-97.8534,1
"208",30.2152,-97.8529,1
"209",30.2155,-97.8527,1
"210",30.2158,-97.8519,1
"211",30.216,-97.8518,1
"212",30.2163,-97.851,1
"213",30.2164,-97.851,1
"214",30.2165,-97.8454,1
"215",30.2165,-97.8446,1
