,coef_glmnet.cv,coef_pg,coef_apg
age,0,0,0
sex,-0.069060209,0,0
bmi,0.30980804,0.275647237,0.303890007
map,0.155355223,0.122399933,0.10436907
tc,0,0,0
ldl,0,0,0
hdl,-0.115791333,-0.066925948,-0.058459826
tch,0,0,0
ltg,0.28895791,0.247296755,0.266173153
glu,0.01107363,0.005282132,0
age.2,0.004553565,0,0
bmi.2,0.023868966,0.019174497,0
map.2,0,0,0
tc.2,0,0,0
ldl.2,0,0,0
hdl.2,0,0,0
tch.2,0,0,0
ltg.2,0,0,0
glu.2,0.042990177,0.001076629,0.002332778
age.sex,0.066388536,0.003417352,0.006302659
age.bmi,0,0,0
age.map,0.018512001,0,0
age.tc,0,0,0
age.ldl,0,0,0
age.hdl,0,0,0
age.tch,0,0,0
age.ltg,0.005254032,0,0
age.glu,0.007211655,0,0
sex.bmi,0,0,0
sex.map,0,0,0
sex.tc,0,0,0
sex.ldl,0,0,0
sex.hdl,0,0,0
sex.tch,0,0,0
sex.ltg,0,0,0
sex.glu,0,0,0
bmi.map,0.052831016,0.010356534,0.017975866
bmi.tc,0,0,0
bmi.ldl,0,0,0
bmi.hdl,0,0,0
bmi.tch,0,0,0
bmi.ltg,0,0,0
bmi.glu,0,0,0
map.tc,0,0,0
map.ldl,0,0,0
map.hdl,0,0,0
map.tch,0,0,0
map.ltg,0,0,0
map.glu,0,0,0
tc.ldl,0,0,0
tc.hdl,0,0,0
tc.tch,0,0,0
tc.ltg,0,0,0
tc.glu,0,0,0
ldl.hdl,0,0,0
ldl.tch,0,0,0
ldl.ltg,0,0,0
ldl.glu,0,0,0
hdl.tch,0,0,0
hdl.ltg,0,0,0
hdl.glu,0,0,0
tch.ltg,0,0,0
tch.glu,0,0,0
ltg.glu,0,0,0
